0,92
1,261
2,754
3,2161
4,6485
5,23753
6,52522
7,91299
8,125941
9,150055
10,165966
11,164260
12,160806
13,151966
14,140720
15,128197
16,113100
17,99258
18,86953
19,75628
20,66582
21,56974
22,49929
23,43340
24,37582
25,33429
26,28711
27,25286
28,22031
29,19647
30,17820
31,15403
32,13990
33,12522
34,11115
35,10120
36,9003
37,8131
38,7326
39,6596
40,6207
41,5547
42,4957
43,4687
44,4293
45,3927
46,3469
47,3340
48,3056
49,2720
50,2525
51,2338
52,2178
53,1977
54,1867
55,1734
56,1595
57,1506
58,1371
59,1340
60,1242
61,1123
62,1082
63,989
64,962
65,848
66,817
67,773
68,768
69,705
70,719
71,607
72,579
73,532
74,484
75,463
76,431
77,428
78,409
79,369
80,359
81,349
82,365
83,282
84,265
85,287
86,266
87,256
88,221
89,224
90,205
91,204
92,173
93,176
94,166
95,187
96,189
97,139
98,155
99,154
100,139
101,126
102,129
103,124
104,132
105,127
106,121
107,100
108,110
109,96
110,87
111,94
112,93
113,87
114,88
115,76
116,80
117,85
118,74
119,66
120,68
121,62
122,76
123,63
124,51
125,48
126,37
127,45
128,42
129,38
130,42
131,38
132,37
133,44
134,32
135,35
136,33
137,33
138,30
139,27
140,23
141,27
142,25
143,33
144,26
145,26
146,20
147,18
148,17
149,11
150,30
151,23
152,20
153,16
154,14
155,13
156,19
157,10
158,11
159,16
160,17
161,14
162,14
163,15
164,14
165,10
166,14
167,18
168,11
169,13
170,11
171,15
172,11
173,9
174,4
175,10
176,11
177,6
178,10
179,7
180,7
181,8
182,5
183,4
184,8
185,7
186,6
187,6
188,10
189,4
190,8
191,8
192,3
193,2
194,6
195,5
196,3
197,4
198,4
199,6
200,7
201,5
202,4
203,4
204,4
205,1
206,4
207,4
208,3
209,3
210,2
211,2
212,1
213,5
214,2
215,3
216,3
217,6
218,3
219,3
220,5
221,3
222,1
223,2
224,3
225,2
226,2
227,1
228,2
229,1
231,1
233,3
234,2
236,4
237,2
238,1
241,1
243,2
244,2
246,1
247,2
248,2
249,1
251,3
253,2
256,1
257,1
259,1
262,2
263,1
266,2
267,1
268,2
269,1
271,1
278,1
281,1
285,2
287,1
288,1
289,2
298,2
299,1
300,2
305,1
306,2
309,1
312,1
318,1
320,1
322,1
330,1
331,1
335,1
340,1
379,1
383,1
